T,rho,c_p
300,1.0961E-2,2.3658E2
400,1.0929E-2,2.6432E2
500,1.0897E-2,2.8153E2
600,1.0865E-2,2.9299E2
700,1.0832E-2,3.0071E2
800,1.0800E-2,3.0584E2
900,1.0766E-2,3.0918E2
1000,1.0733E-2,3.1140E2
1100,1.0699E-2,3.1300E2
1200,1.0664E-2,3.1465E2
1300,1.0628E-2,3.1646E2
1400,1.0590E-2,3.1950E2
1500,1.0551E-2,3.2237E2
1600,1.0511E-2,3.2925E2
1700,1.0468E-2,3.3688E2
1800,1.0423E-2,3.4670E2
1900,1.0376E-2,3.5926E2
2000,1.0327E-2,3.7457E2
2100,1.0275E-2,3.9071E2
2200,1.0212E-2,4.1468E2
2300,1.0162E-2,4.3989E2